"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Pakistan Stock Exchange – Important Indicators","31-Dec-2018","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7693","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Dec-2018","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","2783.42","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Nov-2018","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","29382","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Nov-2018","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","40496","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Nov-2018","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","8067","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Nov-2018","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","4209.21","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Oct-2018","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","30220","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Oct-2018","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","41649","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Oct-2018","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","8321","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Oct-2018","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","5121.76","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Sep-2018","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","29944","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Sep-2018","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","40999","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Sep-2018","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","8403","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Sep-2018","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","2686.32","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Aug-2018","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","30654","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Aug-2018","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","41742","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Aug-2018","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","8678","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Aug-2018","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","3712.28","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Jul-2018","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","30908","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jul-2018","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","42712","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jul-2018","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","8750","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jul-2018","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","4108.35","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Jun-2018","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","30583","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Jun-2018","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","41911","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Jun-2018","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","8665","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Jun-2018","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","3410.17","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-May-2018","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","31362","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-May-2018","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","42847","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-May-2018","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","8913","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-May-2018","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","3101.97","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Apr-2018","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","32981","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Apr-2018","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","45489","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Apr-2018","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","9387","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Apr-2018","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","4644.95","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Mar-2018","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","32727","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Mar-2018","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","45560","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Mar-2018","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","9371","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Mar-2018","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","4391.17","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","28-Feb-2018","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","31372","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","28-Feb-2018","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","43239","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","28-Feb-2018","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","9024","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","28-Feb-2018","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","4117.9","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Jan-2018","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","31762","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jan-2018","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","44049","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jan-2018","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","9136","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jan-2018","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","5787.055","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Dec-2017","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","29774","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Dec-2017","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","40471","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Dec-2017","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","8571","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Dec-2017","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","3272.63","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Nov-2017","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","29113","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Nov-2017","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","40010","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Nov-2017","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","8375","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Nov-2017","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","2705.71","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Oct-2017","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","28597","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Oct-2017","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","39617","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Oct-2017","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","8261","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Oct-2017","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","3494.97","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Sep-2017","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","30396","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Sep-2017","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","42409","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Sep-2017","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","8857","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Sep-2017","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","3152.82","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Aug-2017","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","29520","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Aug-2017","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","41207","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Aug-2017","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","8668","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Aug-2017","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","4556.16","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Jul-2017","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","32553","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jul-2017","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","46010","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jul-2017","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","9514","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jul-2017","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","3896","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Jun-2017","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","32494","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Jun-2017","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","46565","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Jun-2017","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","9522.358","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Jun-2017","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","5358.29","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-May-2017","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","35001","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-May-2017","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","50592","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-May-2017","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","10083","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-May-2017","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","7801.16","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Apr-2017","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","34011","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Apr-2017","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","49301","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Apr-2017","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","9835","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Apr-2017","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","4921.12","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Mar-2017","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","32985","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Mar-2017","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","48156","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Mar-2017","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","9595","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Mar-2017","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","5674.59","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","28-Feb-2017","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","32846","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","28-Feb-2017","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","48534","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","28-Feb-2017","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","9620","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","28-Feb-2017","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","7279.32","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Jan-2017","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","33187","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jan-2017","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","48758","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jan-2017","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","9728","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jan-2017","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","9936.69","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Dec-2016","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","32842","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Dec-2016","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","47807","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Dec-2016","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","9629","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Dec-2016","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","7836.421","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Nov-2016","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","29592","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Nov-2016","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","42620","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Nov-2016","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","8697","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Nov-2016","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","10952.855","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Oct-2016","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","27349","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Oct-2016","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","39894","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Oct-2016","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","8083","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Oct-2016","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","8675.997","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Sep-2016","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","27682","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Sep-2016","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","40542","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Sep-2016","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","8224","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Sep-2016","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","10903.85","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Aug-2016","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","26763","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Aug-2016","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","39810","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Aug-2016","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","8011","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Aug-2016","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","6109.26","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Jul-2016","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","26316","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jul-2016","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","39529","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jul-2016","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7887","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jul-2016","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","3149.67","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Jun-2016","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","25313","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Jun-2016","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","37784","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Jun-2016","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7588","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Jun-2016","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","4494.76","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-May-2016","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","24494","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-May-2016","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","36062","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-May-2016","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7358","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-May-2016","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","6303.1","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Apr-2016","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","23954","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Apr-2016","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","34719","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Apr-2016","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7206","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Apr-2016","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","5096.4","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Mar-2016","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","22897","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Mar-2016","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","33139","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Mar-2016","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","6916","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Mar-2016","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","3525.23","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","29-Feb-2016","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","21715","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","29-Feb-2016","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","31370","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","29-Feb-2016","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","6587","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","29-Feb-2016","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","2893.64","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Jan-2016","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","22098","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jan-2016","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","31299","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jan-2016","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","6699","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jan-2016","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","3180.87","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Dec-2015","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","22937","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Dec-2015","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","32816","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Dec-2015","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","6947","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
