"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Pakistan Stock Exchange – Important Indicators","31-Jan-2024","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","61979","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jan-2024","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","9074","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jan-2024","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","11737","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Dec-2023","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","41916","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Dec-2023","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","62451","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Dec-2023","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","9063","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Dec-2023","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","21166","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Nov-2023","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","40324","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Nov-2023","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","60531","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Nov-2023","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","8730","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Nov-2023","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","14056","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Oct-2023","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","34558","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Oct-2023","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","51920","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Oct-2023","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7552","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Oct-2023","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","8405","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Sep-2023","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","31159","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Sep-2023","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","46233","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Sep-2023","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","6886","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Sep-2023","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","3448","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Aug-2023","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","30042","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Aug-2023","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","45002","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Aug-2023","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","6716","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Aug-2023","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","6815","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","31-Jul-2023","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","32027","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jul-2023","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","48035","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jul-2023","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","7232","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","31-Jul-2023","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","7985","Million Number of shares","Normal","","40","Turnover of shares"
"Pakistan Stock Exchange – Important Indicators","30-Jun-2023","TS_GP_MFS_PSXIND_M.PSX00010000","A. KSE All Index","28111","Index","Normal","","10","KSE All Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Jun-2023","TS_GP_MFS_PSXIND_M.PSX00020000","B. KSE 100 Index","41453","Index","Normal","","20","KSE 100 Index of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Jun-2023","TS_GP_MFS_PSXIND_M.PSX00030000","C. Market Capitalization","6370","Billion PKR","Normal","","30","Market Capitalization of the last working day of the month."
"Pakistan Stock Exchange – Important Indicators","30-Jun-2023","TS_GP_MFS_PSXIND_M.PSX00040000","D. Turnover of Shares","3903","Million Number of shares","Normal","","40","Turnover of shares"
